Sr.No.,Element Name,Period,Unit,Decimals,Fact Value
62,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-01-2023 To 31-03-2023,OneD,,-1.31
63,DebtServiceCoverageRatio,01-01-2023 To 31-03-2023,OneD,,0.00
64,InterestServiceCoverageRatio,01-01-2023 To 31-03-2023,OneD,,0.01
65,IsCompanyReportingMultisegmentOrSingleSegment,01-01-2023 To 31-03-2023,,,Multi segment
66,DateOfStartOfReportingPeriod,01-01-2023 To 31-03-2023,,,2022-04-01
67,DateOfEndOfReportingPeriod,01-01-2023 To 31-03-2023,,,2023-03-31
68,WhetherResultsAreAuditedOrUnaudited,01-01-2023 To 31-03-2023,,,Audited
69,NatureOfReportStandaloneConsolidated,01-01-2023 To 31-03-2023,,,Consolidated
70,RevenueFromOperations,01-01-2023 To 31-03-2023,FourD,-5.0,72631200000.00
71,OtherIncome,01-01-2023 To 31-03-2023,FourD,-5.0,1950700000.00
72,Income,01-01-2023 To 31-03-2023,FourD,-5.0,74581900000.00
73,CostOfMaterialsConsumed,01-01-2023 To 31-03-2023,FourD,-5.0,36501700000.00
74,PurchasesOfStockInTrade,01-01-2023 To 31-03-2023,FourD,-5.0,432700000.00
75,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,01-01-2023 To 31-03-2023,FourD,-5.0,-185100000.00
76,EmployeeBenefitExpense,01-01-2023 To 31-03-2023,FourD,-5.0,4055900000.00
77,FinanceCosts,01-01-2023 To 31-03-2023,FourD,-5.0,10358500000.00
78,DepreciationDepletionAndAmortisationExpense,01-01-2023 To 31-03-2023,FourD,-5.0,3813500000.00
79,OtherExpenses,01-01-2023 To 31-03-2023,FourD,-5.0,25577500000.00
80,Expenses,01-01-2023 To 31-03-2023,FourD,-5.0,80554700000.00
81,ProfitBeforeExceptionalItemsAndTax,01-01-2023 To 31-03-2023,FourD,-5.0,-5972800000.00
82,ExceptionalItemsBeforeTax,01-01-2023 To 31-03-2023,FourD,-5.0,-2005300000.00
83,ProfitBeforeTax,01-01-2023 To 31-03-2023,FourD,-5.0,-7978100000.00
84,CurrentTax,01-01-2023 To 31-03-2023,FourD,-5.0,229800000.00
85,DeferredTax,01-01-2023 To 31-03-2023,FourD,-5.0,162100000.00
86,TaxExpense,01-01-2023 To 31-03-2023,FourD,-5.0,391900000.00
87,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,01-01-2023 To 31-03-2023,FourD,-5.0,0.00
88,ProfitLossForPeriodFromContinuingOperations,01-01-2023 To 31-03-2023,FourD,-5.0,-8370000000.00
89,ProfitLossFromDiscontinuedOperationsBeforeTax,01-01-2023 To 31-03-2023,FourD,-5.0,-5272600000.00
90,TaxExpenseOfDiscontinuedOperations,01-01-2023 To 31-03-2023,FourD,-5.0,-400000.00
91,ProfitLossFromDiscontinuedOperationsAfterTax,01-01-2023 To 31-03-2023,FourD,-5.0,-5272200000.00
92,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,01-01-2023 To 31-03-2023,FourD,-5.0,126200000.00
93,ProfitLossForPeriod,01-01-2023 To 31-03-2023,FourD,-5.0,-13516000000.00
94,OtherComprehensiveIncomeNetOfTaxes,01-01-2023 To 31-03-2023,FourD,-5.0,50200000.00
95,ComprehensiveIncomeForThePeriod,01-01-2023 To 31-03-2023,FourD,-5.0,-13465800000.00
96,ProfitOrLossAttributableToOwnersOfParent,01-01-2023 To 31-03-2023,FourD,-5.0,-13418300000.00
97,ProfitOrLossAttributableToNonControllingInterests,01-01-2023 To 31-03-2023,FourD,-5.0,-97700000.00
98,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,01-01-2023 To 31-03-2023,FourD,-5.0,-13368900000.00
99,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,01-01-2023 To 31-03-2023,FourD,-5.0,-96900000.00
100,PaidUpValueOfEquityShareCapital,01-01-2023 To 31-03-2023,FourD,-5.0,4909200000.00
101,FaceValueOfEquityShareCapital,01-01-2023 To 31-03-2023,FourD,,2
102,ReserveExcludingRevaluationReserves,01-01-2023 To 31-03-2023,FourD,-5.0,-17423100000.00
103,BasicEarningsLossPerShareFromContinuingOperations,01-01-2023 To 31-03-2023,FourD,,-3.32
104,DilutedEarningsLossPerShareFromContinuingOperations,01-01-2023 To 31-03-2023,FourD,,-3.32
105,BasicEarningsLossPerShareFromDiscontinuedOperations,01-01-2023 To 31-03-2023,FourD,,-2.15
106,DilutedEarningsLossPerShareFromDiscontinuedOperations,01-01-2023 To 31-03-2023,FourD,,-2.15
107,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-01-2023 To 31-03-2023,FourD,,-5.47
108,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,01-01-2023 To 31-03-2023,FourD,,-5.47
109,DebtServiceCoverageRatio,01-01-2023 To 31-03-2023,FourD,,0.00
110,InterestServiceCoverageRatio,01-01-2023 To 31-03-2023,FourD,,0.00
111,DescriptionOfOtherExpenses,01-01-2023 To 31-03-2023,,,"Direct Construction, Manufacturing, Real Estate, Infrastructure, Hotel/Hospitality, Event & Power Expenses"
112,OtherExpenses,01-01-2023 To 31-03-2023,OneOperatingExpenses01D,-5.0,6596700000.00
113,DescriptionOfOtherExpenses,01-01-2023 To 31-03-2023,,,Other Expenses
114,OtherExpenses,01-01-2023 To 31-03-2023,OneOperatingExpenses02D,-5.0,861200000.00
115,DescriptionOfOtherExpenses,01-01-2023 To 31-03-2023,,,"Direct Construction, Manufacturing, Real Estate, Infrastructure, Hotel/Hospitality, Event & Power Expenses"
116,OtherExpenses,01-01-2023 To 31-03-2023,FourOperatingExpenses01D,-5.0,22092300000.00
117,DescriptionOfOtherExpenses,01-01-2023 To 31-03-2023,,,Other Expenses
118,OtherExpenses,01-01-2023 To 31-03-2023,FourOperatingExpenses02D,-5.0,3485200000.00
119,NonControllingInterest,31-03-2023,OneI,-5.0,-517200000.00
120,PropertyPlantAndEquipment,31-03-2023,OneI,-5.0,46378100000.00
121,CapitalWorkInProgress,31-03-2023,OneI,-5.0,1926300000.00
122,InvestmentProperty,31-03-2023,OneI,-5.0,0.00
123,Goodwill,31-03-2023,OneI,-5.0,0.00
124,OtherIntangibleAssets,31-03-2023,OneI,-5.0,3205600000.00
125,NoncurrentInvestments,31-03-2023,OneI,-5.0,14917700000.00
126,TradeReceivablesNoncurrent,31-03-2023,OneI,-5.0,16793300000.00
127,LoansNoncurrent,31-03-2023,OneI,-5.0,0.00
128,OtherNoncurrentFinancialAssets,31-03-2023,OneI,-5.0,2849700000.00
129,NoncurrentFinancialAssets,31-03-2023,OneI,-5.0,34560700000.00
130,DeferredTaxAssetsNet,31-03-2023,OneI,-5.0,0.00
131,OtherNoncurrentAssets,31-03-2023,OneI,-5.0,12395400000.00
132,NoncurrentAssets,31-03-2023,OneI,-5.0,98466100000.00
133,Inventories,31-03-2023,OneI,-5.0,152082400000.00
134,CurrentInvestments,31-03-2023,OneI,-5.0,0.00
135,TradeReceivablesCurrent,31-03-2023,OneI,-5.0,24128000000.00
136,CashAndCashEquivalents,31-03-2023,OneI,-5.0,3276700000.00
137,BankBalanceOtherThanCashAndCashEquivalents,31-03-2023,OneI,-5.0,1692100000.00
138,LoansCurrent,31-03-2023,OneI,-5.0,0.00
139,OtherCurrentFinancialAssets,31-03-2023,OneI,-5.0,20685100000.00
140,CurrentFinancialAssets,31-03-2023,OneI,-5.0,49781900000.00
141,CurrentTaxAssets,31-03-2023,OneI,-5.0,0.00
142,OtherCurrentAssets,31-03-2023,OneI,-5.0,31589000000.00
143,CurrentAssets,31-03-2023,OneI,-5.0,233453300000.00
144,NoncurrentAssetsClassifiedAsHeldForSale,31-03-2023,OneI,-5.0,45757000000.00
145,Assets,31-03-2023,OneI,-5.0,377676400000.00
146,EquityShareCapital,31-03-2023,OneI,-5.0,4909200000.00
147,OtherEquity,31-03-2023,OneI,-5.0,-17423100000.00
148,EquityAttributableToOwnersOfParent,31-03-2023,OneI,-5.0,-12513900000.00
149,Equity,31-03-2023,OneI,-5.0,-13031100000.00
150,BorrowingsNoncurrent,31-03-2023,OneI,-5.0,133933200000.00
151,TradePayablesNoncurrent,31-03-2023,OneI,-5.0,770700000.00
152,OtherNoncurrentFinancialLiabilities,31-03-2023,OneI,-5.0,71198600000.00
153,NoncurrentFinancialLiabilities,31-03-2023,OneI,-5.0,205902500000.00
154,ProvisionsNoncurrent,31-03-2023,OneI,-5.0,723900000.00
155,DeferredTaxLiabilitiesNet,31-03-2023,OneI,-5.0,1539200000.00
156,OtherNoncurrentLiabilities,31-03-2023,OneI,-5.0,3397500000.00
157,NoncurrentLiabilities,31-03-2023,OneI,-5.0,211563100000.00
158,BorrowingsCurrent,31-03-2023,OneI,-5.0,30651100000.00
159,TradePayablesCurrent,31-03-2023,OneI,-5.0,21513100000.00
160,OtherCurrentFinancialLiabilities,31-03-2023,OneI,-5.0,45851600000.00
161,CurrentFinancialLiabilities,31-03-2023,OneI,-5.0,98015800000.00
162,OtherCurrentLiabilities,31-03-2023,OneI,-5.0,27823500000.00
163,ProvisionsCurrent,31-03-2023,OneI,-5.0,8358600000.00
164,CurrentTaxLiabilities,31-03-2023,OneI,-5.0,46900000.00
165,CurrentLiabilities,31-03-2023,OneI,-5.0,134244800000.00
166,LiabilitiesDirectlyAssociatedWithAssetsInDisposalGroupClassifiedAsHeldForSale,31-03-2023,OneI,-5.0,44899600000.00
167,RegulatoryDeferralAccountCreditBalancesAndRelatedDeferredTaxLiability,31-03-2023,OneI,-5.0,0.00
168,Liabilities,31-03-2023,OneI,-5.0,390707500000.00
169,EquityAndLiabilities,31-03-2023,OneI,-5.0,377676400000.00
170,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
171,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue01D,-5.0,94900000.00
172,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
173,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue02D,-5.0,7466500000.00
174,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Fertilizers
175,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue03D,-5.0,6976700000.00
176,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Hotel/Hospitality & Golf Course
177,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue04D,-5.0,1055300000.00
178,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Infrastructure
179,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue05D,-5.0,119200000.00
180,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Investments
181,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue06D,-5.0,0.00
182,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Others
183,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue07D,-5.0,350600000.00
184,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Power
185,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue08D,-5.0,0.00
186,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Real Estate
187,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue09D,-5.0,2764900000.00
188,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Unallocated
189,SegmentRevenue,01-01-2023 To 31-03-2023,OneReportableSegmentRevenue10D,-5.0,395200000.00
190,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
191,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue01D,-5.0,759100000.00
192,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
193,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue02D,-5.0,26645200000.00
194,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Fertilizers
195,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue03D,-5.0,32005300000.00
196,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Hotel/Hospitality & Golf Course
197,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue04D,-5.0,3532500000.00
198,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Infrastructure
199,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue05D,-5.0,550300000.00
200,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Investments
201,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue06D,-5.0,0.00
202,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Others
203,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue07D,-5.0,1008200000.00
204,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Power
205,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue08D,-5.0,0.00
206,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Real Estate
207,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue09D,-5.0,8425700000.00
208,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Unallocated
209,SegmentRevenue,01-01-2023 To 31-03-2023,FourReportableSegmentRevenue10D,-5.0,420600000.00
210,SegmentRevenue,01-01-2023 To 31-03-2023,OneD,-5.0,19223300000.00
211,SegmentRevenue,01-01-2023 To 31-03-2023,FourD,-5.0,73346900000.00
212,InterSegmentRevenue,01-01-2023 To 31-03-2023,OneD,-5.0,145900000.00
213,InterSegmentRevenue,01-01-2023 To 31-03-2023,FourD,-5.0,715700000.00
214,SegmentRevenueFromOperations,01-01-2023 To 31-03-2023,OneD,-5.0,19077400000.00
215,SegmentRevenueFromOperations,01-01-2023 To 31-03-2023,FourD,-5.0,72631200000.00
216,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
217,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults01D,-5.0,-590900000.00
218,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
219,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults02D,-5.0,188000000.00
220,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Fertilizers
221,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults03D,-5.0,212200000.00
222,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Hotel/Hospitality & Golf Course
223,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults04D,-5.0,270600000.00
224,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Infrastructure
225,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults05D,-5.0,548800000.00
226,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Investments
227,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults06D,-5.0,-7800000.00
228,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Others
229,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults07D,-5.0,142600000.00
230,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Power
231,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults08D,-5.0,0.00
232,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Real Estate
233,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults09D,-5.0,790700000.00
234,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Unallocated
235,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneReportableSegmentResults10D,-5.0,0.00
236,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
237,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults01D,-5.0,-1009700000.00
238,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
239,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults02D,-5.0,1046100000.00
240,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Fertilizers
241,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults03D,-5.0,1056000000.00
242,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Hotel/Hospitality & Golf Course
243,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults04D,-5.0,785900000.00
244,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Infrastructure
245,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults05D,-5.0,483900000.00
246,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Investments
247,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults06D,-5.0,137000000.00
248,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Others
249,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults07D,-5.0,-112900000.00
250,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Power
251,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults08D,-5.0,0.00
252,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Real Estate
253,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults09D,-5.0,919000000.00
254,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Unallocated
255,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourReportableSegmentResults10D,-5.0,0.00
256,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,OneD,-5.0,1554200000.00
257,SegmentProfitLossBeforeTaxAndFinanceCosts,01-01-2023 To 31-03-2023,FourD,-5.0,3305300000.00
258,SegmentFinanceCosts,01-01-2023 To 31-03-2023,OneD,-5.0,1739100000.00
259,SegmentFinanceCosts,01-01-2023 To 31-03-2023,FourD,-5.0,10358500000.00
260,OtherUnallocableExpenditureNetOffUnAllocableIncome,01-01-2023 To 31-03-2023,OneD,-5.0,-702000000.00
261,OtherUnallocableExpenditureNetOffUnAllocableIncome,01-01-2023 To 31-03-2023,FourD,-5.0,-1080400000.00
262,SegmentProfitBeforeTax,01-01-2023 To 31-03-2023,OneD,-5.0,517100000.00
263,SegmentProfitBeforeTax,01-01-2023 To 31-03-2023,FourD,-5.0,-5972800000.00
264,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
265,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets01D,-5.0,50412700000.00
266,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
267,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets02D,-5.0,61762600000.00
268,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Fertilizers
269,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets03D,-5.0,12676200000.00
270,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Hotel/Hospitality & Golf Course
271,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets04D,-5.0,7729300000.00
272,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Infrastructure
273,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets05D,-5.0,3282500000.00
274,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Investments
275,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets06D,-5.0,14917700000.00
276,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Others
277,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets07D,-5.0,3527100000.00
278,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Power
279,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets08D,-5.0,17555000000.00
280,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Real Estate
281,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets09D,-5.0,186941500000.00
282,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Unallocated
283,SegmentAssets,01-01-2023 To 31-03-2023,OneReportableSegmentAssets10D,-5.0,0.00
284,SegmentAssets,01-01-2023 To 31-03-2023,OneD,-5.0,358804600000.00
285,UnAllocableAssets,31-03-2023,OneI,-5.0,18871800000.00
286,NetSegmentAssets,31-03-2023,OneI,-5.0,377676400000.00
287,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Cement & Cement Products
288,SegmentLiabilities,31-03-2023,OneReportableSegmentLiabilities01I,-5.0,12908500000.00
289,DescriptionOfReportableSegment,01-01-2023 To 31-03-2023,,,Construction
290,SegmentLiabilities,31-03-2023,OneReportableSegmentLiabilities02I,-5.0,21624900000.00
